Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
La Mujer del Diablo;La mujer del diablo;TMDB;2022 - 2023;Se contará la historia de una maestra de primaria que desea salir de su pueblo, así como la de un hombre quien aparenta ser benefactor.;https://image.tmdb.org/t/p/original/lhGcQeib5dltKUVlI7c7oniZUZ7.jpg;https://image.tmdb.org/t/p/original/c5b4Xfa9jwW6hXXpyo28RArEAwy.jpg;Drama;7.546;3;26;https://www.themoviedb.org/tv/205442;T1:8|T2:8|T3:10;Carolina Miranda (Natalia Vallejo), José Ron (Cristo Beltrán), Adriana Louvier (Soledad), Mónica Dionne (Cayetana de Vallejo), Alejandro Calva (Jonás), Álex Perea (Cachorro);https://image.tmdb.org/t/p/w185/4lJzUpFW37ZcVuQfqKPdQ2djImP.jpg, https://image.tmdb.org/t/p/w185/uvd8ZwzSY4N2vOcC12A6cGuZ7op.jpg, https://image.tmdb.org/t/p/w185/5f3KNlFRnQD8NwTYhRE9gTHNf1V.jpg, https://image.tmdb.org/t/p/w185/tVonMtXNKtixZ2dH9yzhT0l3Rmp.jpg, https://image.tmdb.org/t/p/w185/zd7yOpxs3vsHgZXmTD3ueydYA6B.jpg, https://image.tmdb.org/t/p/w185/9PvntkIRZGRpSwcShl7Fz7TPmed.jpg;Creador: Carlos Bardasano, Carlos Andrés Cock Marín, Leonardo Padrón, Abel Solis;Marimar, Descubriendo a Nina, Enamorándome de Ramón, María Mercedes, Corazón Indomable;
La Pola;La Pola;TMDB;2010 - 2011;En medio de la lucha por la independencia de Colombia, Policarpa Salavarrieta desafía el poder español y los prejuicios de su tiempo. Su amor prohibido con Alejo, un joven español, se entrelaza con la revolución, enfrentando dilemas entre el corazón y la patria.;https://image.tmdb.org/t/p/original/i0S1GXNzsUJO3QXIydI0k9KIkcG.jpg;https://image.tmdb.org/t/p/original/7SiHXKtD9JHl6hAeZ1veFtVmjk4.jpg;Misterio, Drama;8.0;1;98;https://www.themoviedb.org/tv/107148;T1:98;"Carolina Ramírez (Pola Salavarrieta), Ana María Estupiñán (Pola Salavarrieta ""Joven""), Emmanuel Esparza (Alejandro Sabbarain), Luis Fernando Hoyos (Antonio Nariño), Sergio Borrero (Nassir), Diego Cadavid (Ambrosio Almeida)";https://image.tmdb.org/t/p/w185/7tuft106PlxmJAikuij3kW5iU1w.jpg, , https://image.tmdb.org/t/p/w185/qMQW5LsxXG2ebN1klRqe7jTfKYg.jpg, , https://image.tmdb.org/t/p/w185/pbgdB3MQCtYiFXd1Cqynx8Vl9Db.jpg, https://image.tmdb.org/t/p/w185/wkZJ5hYJ8VmO3dtSfsIIqJngZJL.jpg;Creador: Sergio Cabrera;The Doctor Blake Mysteries, Fuego en la sangre, El Capo, 77 Sunset Strip, La tormenta;
La Señora Fazilet y Sus Hijas;La señora Fazilet y sus hijas;TMDB;2017 - 2018;Fazilet Hanim, quien siempre ha querido volverse millonaria, vive en un barrio humilde con sus hijas. Tras la muerte de su esposo, decide calmar su ira con el mundo usando a sus hijas para salir de la miseria en la que pasan sus días. Su hija más joven, llamada Ece, es el apoyo más grande de Fazilet para alcanzar la fama y el dinero. Sin embargo, Hazan , la mayor de las hermanas, no tiene intenciones de ayudarla, puesto que sufre una pena enorme y nunca podrá perdonarla por la muerte de su padre. Para empezar su plan de convertirse en una mujer rica y famosa, Fazilet arrastrará a Ece con los Egemen, una respetada familia que reside en una lujosa mansión junto al Bósforo.;https://image.tmdb.org/t/p/original/7t7APvEsk460JQiAs05OFpH5TG1.jpg;https://image.tmdb.org/t/p/original/A4V6jJNHNNvMdICvs3CaH70zIvh.jpg;Drama, Familia;8.0;2;50;https://www.themoviedb.org/tv/76560;T1:13|T2:37;Nazan Kesal (Fazilet Çamkıran), Deniz Baysal (Hazan Çamkıran), Çağlar Ertuğrul (Yağız Egemen), Mahir Günşiray (Hazım Egemen), Tolga Güleç (Gökhan Egemen), Hazal Türesan (Yasemin Egemen);https://image.tmdb.org/t/p/w185/u5bL6Cpgjun4PSuniYv2q3wDF1.jpg, https://image.tmdb.org/t/p/w185/aJNuyuNr7EkVPf3tmAI7GDGqGgV.jpg, https://image.tmdb.org/t/p/w185/k02StxKGD1C8ZyLgD3F2cnUUKnp.jpg, https://image.tmdb.org/t/p/w185/giW4DaPoU0LllRYyemu5DQJfbkh.jpg, https://image.tmdb.org/t/p/w185/vsskHwKhOm0O6IcTXeOkib8havD.jpg, https://image.tmdb.org/t/p/w185/i6g679VSuNgGvcEb5ioJHFDXTdf.jpg;Creador: Gökçen Usta, Günay Günaydın | Director: Gökçen Usta;Amor Prohibido, Madre, Kuzey Güney, Parenthood, Emanet;
La Tempestad;La Tempestad;TMDB;2013 - 2013;Marina Reverte trabaja como gerente de un hotel, pero decide abandonar su trabajo cuando denuncia a un empresario por intentar propasarse con una de sus empleadas. Sumándose a sus problemas, ella recibe la terrible noticia de que su madre tiene una grave enfermedad y que deben mudarse a otra ciudad por su salud.;https://image.tmdb.org/t/p/original/dfwkeqhRV9IaB5HFEY0lwISolxs.jpg;https://image.tmdb.org/t/p/original/vZM0zW2dIJnIMxBZgviouMJiMkY.jpg;Drama;7.3;1;122;https://www.themoviedb.org/tv/44493;T1:122;Ximena Navarrete (Marina Reverte / Magdalena Reverte), William Levy (Captain Damián Fabré), Iván Sánchez (Hernán Saldaña), Laura Carmine (Esther Salazar Mata), Daniela Romo (Mercedes Artigas), César Évora (Fulgencio Salazar);https://image.tmdb.org/t/p/w185/cxWVrsl8gvi8yws4jE9EfuTOnyd.jpg, https://image.tmdb.org/t/p/w185/dqFP6DYo2tJhFpQ4dopdrltjNcd.jpg, https://image.tmdb.org/t/p/w185/woVz8D7t1VUKjFJnsTAdc8tyz5C.jpg, https://image.tmdb.org/t/p/w185/k3FHgV2cbJux6BFzBqwBnthwEkx.jpg, https://image.tmdb.org/t/p/w185/ywqosg7f0RfGkAS79ex6dvKZfw6.jpg, https://image.tmdb.org/t/p/w185/2e49VxAL4JTy18Hju1J9duZG01z.jpg;Creador: Humberto 'Kiko' Olivieri, Liliana Abud | Director: Eric Morales;Esmeralda, La desalmada, Corazón Indomable, Cuando me enamoro... se detiene el tiempo, Rubí;
Aldatmak;La Traicion;TMDB;2022 - 2024;He is a distinguished, respected family court judge. She is an honest and principled woman who has saved many marriages from destruction, made sure that many children receive the affection and love they deserve, and has always been on the side of justice.;https://image.tmdb.org/t/p/original/oECwGGYgEPllqQLrCTz7cyN5Zhm.jpg;https://image.tmdb.org/t/p/original/a3RY66toEFOkPTMJte89mUlN0N5.jpg;Familia, Drama;7.7;2;71;https://www.themoviedb.org/tv/210791;T1:35|T2:36;Vahide Perçin (Güzide Yenersoy), Ercan Kesal (Ali Sezai Okuyan), Mustafa Uğurlu (Tarık Yenersoy), Cem Bender (Oltan Kaşifoğlu), Yusuf Çim (Ozan Yenersoy), Feyza Sevil Güngör (Oylum Yenersoy);https://image.tmdb.org/t/p/w185/gSJxVWTaNGfzocftpT1lXd1FDnD.jpg, https://image.tmdb.org/t/p/w185/krKWIjwR9oDRP3YWET81hsx4SwX.jpg, https://image.tmdb.org/t/p/w185/oHaMkAbDJXSVbiwtx5vezDpbe7q.jpg, https://image.tmdb.org/t/p/w185/6bOAE3wwe5buW6WkcEqygMcwM0h.jpg, https://image.tmdb.org/t/p/w185/dnJydzlc3sMffplKIZ8l3irnjDB.jpg, https://image.tmdb.org/t/p/w185/velSduR1jPv5xQRu3aUuRFhj1UA.jpg;Creador: Ayfer Tunç | Director: Murat Saraçoğlu;Tierra Amarga, Hermanos, Una nueva vida, Corazón herido, Tras el cristal;
La Reina del Flow;La Reina del Flow;TMDB;2018 - 2026;La serie se desarrolla en el seductor ambiente del reggaeton, género que se ha tomado al mundo. Esta es la historia de Yeimy Montoya, una talentosa joven compositora que paga una injusta condena en una prisión de Nueva York tras ser engañada por Charly, el hombre que ama y que posteriormente le roba sus canciones, con las que logra alcanzar la fama y convertirse en una estrella. El único deseo de Yeimy es salir a cobrar venganza contra todos aquellos que acabaron con su vida y su familia.;https://image.tmdb.org/t/p/original/fuVuDYrs8sxvEolnYr0wCSvtyTi.jpg;https://image.tmdb.org/t/p/original/lq64DZcGCtOwrJ59ArhzMZdFX8o.jpg;Drama, Crimen;8.006;3;237;https://www.themoviedb.org/tv/80240;T1:82|T2:90|T3:65;Carolina Ramírez (Yeimy Montoya / Tammy Andrade), Carlos Torres (Charly Flow), Juan Manuel Restrepo (Erik Cruz / Young Charly Flow), Mariana Gómez (Irma 'El Huracán'), Alisson Joan (Sky);https://image.tmdb.org/t/p/w185/7tuft106PlxmJAikuij3kW5iU1w.jpg, https://image.tmdb.org/t/p/w185/2f2HhlZWaHao1vaPPJVl9hIXbFg.jpg, https://image.tmdb.org/t/p/w185/6NmtU4AC0KJjHr0YPUZvwI9Cjqm.jpg, https://image.tmdb.org/t/p/w185/InW3rtiA4Ch0tj55rnsl4Bo0ae.jpg, ;Creador: Andrés Salgado;Pablo Escobar, el patrón del mal, Rosario Tijeras, Wentworth, Sin senos sí hay paraíso, Sobreviviendo a Escobar, Alias J.J.;https://www.youtube.com/watch?v=sZjBH4cuO5k
La Reina del Sur;La Reina del Sur;TMDB;2011 - 2023;Teresa Mendoza comienza su aventura como una joven humilde enamorada de un piloto empleado por los Carteles mexicanos. Cuando ejecutan a su hombre Teresa tendrá que huir desesperada para no correr la misma suerte. Su escape la llevará al sur de España donde intentará comenzar una nueva vida. Tras varios golpes Teresa decide tomar las riendas de su destino y comienza a dirigir su propia organización. Mediante alianzas estratégicas y un agudo sentido para los negocios Teresa Mendoza “La Mexicana” controlará un negocio de distribución de drogas intercontinental como nunca se había visto.;https://image.tmdb.org/t/p/original/lADayXkcxSA5DXXDMBJLmvgAJH7.jpg;https://image.tmdb.org/t/p/original/eio6VCc8mB8igvW2ShRpgIGH8nZ.jpg;Drama, Crimen;7.9;3;183;https://www.themoviedb.org/tv/31586;T1:63|T2:60|T3:60;Kate del Castillo (Teresa Mendoza), Andrés Echavarría (Sheriff);https://image.tmdb.org/t/p/w185/mC9eL2UrGfVQtcf9EvjX0img4Ms.jpg, https://image.tmdb.org/t/p/w185/ml8Cbn7jDbdUg7ZczzQqsM8dFyO.jpg;Creador: Roberto Stopello, Lina Uribe, Darío Villegas;Pablo Escobar, el patrón del mal, Queen of the South, Sin senos sí hay paraíso, El Chapo, El Chema;
La Venganza de Analia;La venganza de Analía;TMDB;2020 - 2025;Después de averiguar detalles desconocidos de su pasado, Analía Guerrero decide tomar, de mano propia, venganza contra el asesino de su madre: Guillermo León Mejía, un destacado político corrupto, candidato a la Presidencia de la República.;https://image.tmdb.org/t/p/original/f3gh3r1WimARRKnmn7fgV0Hu2LX.jpg;https://image.tmdb.org/t/p/original/tM0VOaUyTSgCzBq1aaYyB1OeYbu.jpg;Drama;7.5;2;126;https://www.themoviedb.org/tv/102712;T1:56|T2:70;Carolina Gómez (Analía Guerrero / Ana Lucía Junca / Ana Lucía Mejía Junca), George Slebi (Pablo de la Torre Castiblanco), Marlon Moreno (Guillermo León), Juan A. Baptista (Mark Salinas), Kristina Lilley (Andrea Correa / Susana Guerrero), José Sospedra (Mauricio Navarro);https://image.tmdb.org/t/p/w185/qhtp39MFjDYpn4s7Na9ow2jAx43.jpg, https://image.tmdb.org/t/p/w185/aTAFm8rQL65pC43aZNFvs9x510E.jpg, https://image.tmdb.org/t/p/w185/kDoq3qs9V8CU7xbVTrvO4kUac6t.jpg, https://image.tmdb.org/t/p/w185/nXlaqQWT7nzLYhoE08VAJBX5XJ6.jpg, https://image.tmdb.org/t/p/w185/nYzCZ6JJPgwGIWgjbDOhe7DDloq.jpg, https://image.tmdb.org/t/p/w185/cIQCI5MfMAp5LXYRk38JRp8JY4P.jpg;Creador: Clara María Ochoa, Lucho Sierra, Camila Vega;Rosario Tijeras, Muchachitas como tú, Dame Chocolate, Soñadoras, El final del paraíso;
La Viuda Negra;La Viuda Negra;TMDB;2014 - 2016;"Es una adaptación del libro «La patrona de Pablo Escobar» de José Guarnizo basada en la historia de la narcotraficante colombiana Griselda Blanco, más conocida como ""la reina de la coca"".";https://image.tmdb.org/t/p/original/xkdGdQDXzL6uKDgSJRz3oJqOcrC.jpg;https://image.tmdb.org/t/p/original/yec9CEAVgwVLiXHfqMKeMN3pff5.jpg;Acción, Drama, Crimen;7.377;2;139;https://www.themoviedb.org/tv/60637;T1:81|T2:58;Juan Manuel Restrepo, Kristina Lilley, María Fernanda Yepes (Venus);https://image.tmdb.org/t/p/w185/6NmtU4AC0KJjHr0YPUZvwI9Cjqm.jpg, https://image.tmdb.org/t/p/w185/nYzCZ6JJPgwGIWgjbDOhe7DDloq.jpg, https://image.tmdb.org/t/p/w185/vxCeDLVHzarssYOoT252PGClJ2a.jpg;Creador: Yesmer Uribe;Scarecrow and Mrs. King, The Sweeney, M.I. High, El Capo, El santo;
Lado a Lado;Lado a Lado;TMDB;2012 - 2013;"Ganadora del premio Emmy Internacional a la Mejor Telenovela, ""Side by Side"" narra la historia de dos mujeres de orígenes y clases sociales diferentes. La valiente Isabel, hija de una exesclava y enamorada del capoeirado Zé Maria, y Laura, descendiente de una familia adinerada y destinada a un matrimonio no deseado con Edgar. Además de una amistad inquebrantable, ambas comparten el mismo propósito en la vida: la conquista de la libertad en la conservadora sociedad de Río de Janeiro a principios del siglo XX.";https://image.tmdb.org/t/p/original/essMpxNLj8WvTxzUkN58ZShCsV6.jpg;https://image.tmdb.org/t/p/original/fXC10vd7wzBxFAMEItv7xOuEJvm.jpg;Telenovela, Drama;9.1;1;154;https://www.themoviedb.org/tv/46156;T1:154;Camila Pitanga (Isabel), Marjorie Estiano (Laura), Lázaro Ramos (Zé Maria), Thiago Fragoso (Edgar), Patricia Pillar (Constância (Baronesa da Boa Vista)), Cássio Gabus Mendes (Bonifácio);https://image.tmdb.org/t/p/w185/cKk8eEt55ytMdc6vEgDWWHgKdkZ.jpg, https://image.tmdb.org/t/p/w185/3affZ1HBujLZkIzLgs8kgdsPV8v.jpg, https://image.tmdb.org/t/p/w185/dgipo7seoTxVpacvFteG1In3Vv.jpg, https://image.tmdb.org/t/p/w185/r513jKVbsgwnvLgA6e5xEzTfAi2.jpg, https://image.tmdb.org/t/p/w185/yncIOnbtAvfzq7f0cF5X5r4iYTB.jpg, https://image.tmdb.org/t/p/w185/qAGSElS4tdYIt2DAgdDyV67o3gP.jpg;Creador: João Ximenes Braga, Claudia Lage | Director: Vinicius Coimbra, Dennis Carvalho;La esclava Isaura, Avenida Brasil, La Guerrera, India, una historia de amor, Secrets of Sand;https://www.youtube.com/watch?v=Biyt9p3gSIc
Las Hijas de la Señora Garcia;Las Hijas de la Señora García;TMDB;2024 - 2025;La madre decidida, la Sra. García, se esfuerza por darles a sus hijas Valeria y Mar un futuro mejor, protegiéndolas de la pobreza. Luchará para ver sus sueños reflejados en ellas y proporcionarles el más alto nivel de vida.;https://image.tmdb.org/t/p/original/c75tX49ZsDfyiYih6A0sc5M4zzP.jpg;https://image.tmdb.org/t/p/original/bX3MGRFsd5Tc5CB75ooGuo9qiob.jpg;Familia, Drama, Telenovela;7.4;1;82;https://www.themoviedb.org/tv/276277;T1:82;María Sorté (Ofelia García), Oka Giner (Valeria García), Ela Velden (Mar García), Guillermo García Cantú (Luis Portilla), Laura Flores (Cecilia de Portilla), Emmanuel Palomares (Nicolás Portilla);https://image.tmdb.org/t/p/w185/rIshqSsZC81PE2IYrgSVIaWyCYt.jpg, https://image.tmdb.org/t/p/w185/A02d1PS1xyVitHkU0SaaaWsc9H1.jpg, https://image.tmdb.org/t/p/w185/rwYduI66JTavIBPgE1Y5a1Oj17J.jpg, https://image.tmdb.org/t/p/w185/kSNoXf6JZUh3GCrEcYYa6mpISOO.jpg, https://image.tmdb.org/t/p/w185/rJqyCEBqB4ua2SjQ7PlDvzjlsby.jpg, ;Creador: José Alberto Castro;María la del Barrio, Cuidado con el Ángel, Rubí, Marimar, CORAZON SALVAJE;
Los Miserables;Los Miserables;TMDB;2014 - 2017;Adaptación en formato de telenovela de la famosa obra de Victor Hugo, una historia de perseguidores y perseguidos, en la que todos los personajes van tejiendo nudos de suspenso, acción y muertes en un mundo que los obligará a sacar las garras para poder defenderse de sus enemigos, aunque la lucha más dura le tocará justamente a Lucía 'Lucha' Durán. Lucía, es una mujer perseguida por la ley pero inocente, que tiene que resistir, luchar y ocultarse tenazmente y con astucia, hasta demostrar su integridad ante su perseguidor, Daniel Ponce, jefe de detectives del departamento de narcóticos y quien es también el hombre al que ella ama;https://image.tmdb.org/t/p/original/cRrM1TshRpjZEmThG7WYy0Kc6d6.jpg;https://image.tmdb.org/t/p/original/pffsEiseMn9bu5Jthgehb2mZ6Hx.jpg;Soap;8.857;1;120;https://www.themoviedb.org/tv/87291;T1:120;"Aracely Arámbula (Lucía ""Lucha"" Durán), Erik Hayser (Daniel Ponce), Aylín Mújica (Liliana Durán), Aarón Díaz (César Mondragón), Marco Antonio Treviño (Ignacio Durán), Julian Moreno (Julian Ferrera ""el Hierro"")";https://image.tmdb.org/t/p/w185/dYvgcWCMq3efXcPjN1vW1RKRGh8.jpg, https://image.tmdb.org/t/p/w185/g55M1RbaMdgrkPG1Qs3TqnfVhXa.jpg, https://image.tmdb.org/t/p/w185/mviCXW3u2xKOD5xLZccTgdx3Kfh.jpg, https://image.tmdb.org/t/p/w185/4ayqBPw1xsne9s7h2OBJXWoIUeO.jpg, , ;;Preso No. 1, La Madrastra, Triunfo del amor (2010), La Mentira, Victoria (2007);
Love is in the Air (LLaman a mi puerta);Love is in the Air;TMDB;2020 - 2021;Eda planea terminar sus estudios como arquitecta en el extranjero cuando Serkan Bolat, un joven empresario -y uno de los solteros más cotizados de Estambul-, se interpone en su camino cuando él decide cortar su financiación para los estudios a nivel internacional. Bolat le propone entonces un trato: si ella acepta pasar dos meses con él como si fuese su prometida, volverá a pagar sus estudios. Aunque Eda está convencida de odiarlo profundamente, a medida que pasan los días su relación comienza a cambiar.;https://image.tmdb.org/t/p/original/hkchSrpTMCEjdFBX5HU3IpyYXO4.jpg;https://image.tmdb.org/t/p/original/9qq8LpOoBLYq8MxiMugn0gf9qJd.jpg;Drama, Comedia;8.222;2;52;https://www.themoviedb.org/tv/104877;T1:39|T2:13;"Hande Erçel (Eda Yıldız), Kerem Bürsin (Serkan Bolat), Evrim Doğan (Ayfer Yıldız), Anıl İlter (Engin Sezgin), Elçin Afacan (Melek Yücel ""Melo""), Başak Gümülcinelioğlu (Pırıl Baytekin)";https://image.tmdb.org/t/p/w185/jrUvWNqOpfDm3D0KhbuRwQOy8Nu.jpg, https://image.tmdb.org/t/p/w185/aEVh7OLO0R2ggKNhAeuTKhrnhe4.jpg, https://image.tmdb.org/t/p/w185/jWb0hSq7A2mgpuyQMvmR0dIGkt3.jpg, https://image.tmdb.org/t/p/w185/l5AIU6iU92CqBDQl3QSlrXa2xAv.jpg, https://image.tmdb.org/t/p/w185/A2WIUT1o3fgXepgELNLshLRisqh.jpg, https://image.tmdb.org/t/p/w185/rWU4boVXkQTzTTYhUybAp6qCOj8.jpg;Creador: Ayse Uber Kutlu;Trampa de amor, El juego de Baht (Juegos del destino), Amor eterno, Acapulco, La pareja de al lado;https://www.youtube.com/watch?v=_91Rw_XkiXo
Luna LLena;Dolunay Luna llena;TMDB;2017 - 2017;Ferit Aslan (Can Yaman) es un empresario muy exitoso, y está obsesionado con el orden. Quiere la misma forma de organización tanto en su vida privada como profesional. Nazli (Ozge Gurel), que estudia gastronomía, necesita encontrar un trabajo de inmediato ya que es responsable de cubrir los gastos del hogar que comparte con su amiga y hermana. Ella es obstinada y firme, por lo que tiene dificultades para mantener un trabajo. Ambos completamente opuestos, se encuentran y dan inicio a una divertida historia de amor.;https://image.tmdb.org/t/p/original/3JK0Xk1HltwqXdNfhqsxQtKlMYQ.jpg;https://image.tmdb.org/t/p/original/sn19T6Dl4409fIT9PjCUkp6zcaZ.jpg;Comedia, Drama;8.204;1;26;https://www.themoviedb.org/tv/73506;T1:26;"Özge Gürel (Nazmiye ""Nazlı"" Pınar Aslan), Can Yaman (Ferit Aslan), Hakan Kurtaş (Deniz Kaya), Necip Memili (Hakan Önder), Öznur Serçeler (Fatoş Yalçın), İlayda Akdoğan (Asuman Pınar)";https://image.tmdb.org/t/p/w185/wG3yehWuT6e1JYJTQ9D0NXIHUoO.jpg, https://image.tmdb.org/t/p/w185/qjDCqpngema0dqF1DDEbOKrXC1Z.jpg, https://image.tmdb.org/t/p/w185/bPqpPuQddPLqMNxbSwVYl4nc5O2.jpg, https://image.tmdb.org/t/p/w185/d1jeBnsh30FkL5I196HHz85dz7h.jpg, https://image.tmdb.org/t/p/w185/cW7R6D12Gltl07YdQT8gg5SjRaS.jpg, https://image.tmdb.org/t/p/w185/as19gD7h6iYYqE1Kdnu175Gscn9.jpg;Director: Çağrı Bayraklı, Tarık Erkan;Cuckoo, Acapulco, Dogu, Men at Work, Marlon;
Más hermosa que tú;Más hermosa que tú;TMDB;2022 - 2022;Efsun es una joven médica dermatóloga que vive con su padre en Gaziantep, en el interior de Turquía, llevando una vida rural y tranquila. Ella y su padre fueron abandonados por su madre cuando era pequeña, su madre su fue a Estambul y no hubo más noticias.  Un día Efsun se entera que su madre está en Estambul en su lecho de muerte y pide verla. Para que vaya a Estambul la madre envía un coche con chofer, que es Emir.  Al llegar al lado de su madre descubre que ella es dueña de una clínica de estética muy importante y que quiere que Efsun trabaje en esa clínica. También descubre que su madre ha formado pareja con Kaya que a su vez tiene un hijo que es Emir, el supuesto chofer.  En realidad Emir es un brillante cirujano plástico, que quiere dirigir la clínica y ve a Efsun como una enemiga que llega para usurparle su lugar. Además tendrán que ser vecinos en las viviendas de la clínica.;https://image.tmdb.org/t/p/original/xtLkwR0NkYlJatqRydfCvf9l2RB.jpg;https://image.tmdb.org/t/p/original/ra2t2Q9n9V90e4t0ND3JBnU0mPy.jpg;Comedia, Drama;8.053;1;14;https://www.themoviedb.org/tv/203572;T1:14;Cemre Baysel (Efsun Armağan), Burak Çelik (Emir Demirhan), Ebru Cündübeyoğlu (Pervin Soylu), Berat Yenilmez (Kaya Demirhan), Sevinç Erbulak (Serpil Demirhan), Cem Kurtoğlu (Ferdi Armağan);https://image.tmdb.org/t/p/w185/c6ftdtt8o8NCp5o8v7rJmmhlQ3C.jpg, https://image.tmdb.org/t/p/w185/veN3x0qdxSfcvE8Mt2DjYEhkpPC.jpg, https://image.tmdb.org/t/p/w185/lhJ9LpOxevXVPhe0WxsEx0DcovL.jpg, https://image.tmdb.org/t/p/w185/1vVva5ByACBdOkTM4UjOd8gmsUR.jpg, https://image.tmdb.org/t/p/w185/nKScTUtY9xv0eyejwvgfW4KkQjp.jpg, https://image.tmdb.org/t/p/w185/m80GmkOI13e0Hph4cgC9FYPJjjc.jpg;Director: Ketche, Deniz Koloş;Recuerdos del amor, Claws, Gracias, ¿el siguiente?, Con amor, Shining Vale;
Medcezir;Medcezir;TMDB;2013 - 2015;Yaman es un joven que vive en Tozludere, un barrio pobre de Estambul con su madre, hermano y padrastro. Destaca por ser un joven luchador, trabajador y honesto. Sin embargo, un día es arrestado y encarcelado porque su hermano Kenan roba un automóvil en una gasolinera. A raíz de este suceso, conoce a Selim Serez, un exitoso abogado. Selim ve en el joven mucho potencial que no puede ser desperdiciado, y por esta razón, le ofrece vivir junto a él y su familia.;https://image.tmdb.org/t/p/original/t3uTGtLVDbpo2SaQVKhvjcj5HWU.jpg;https://image.tmdb.org/t/p/original/4zuLi90yC0S1c7uwHO0dyU7kIYX.jpg;Comedia, Drama, Familia;7.1;2;77;https://www.themoviedb.org/tv/61867;T1:38|T2:39;Çağatay Ulusoy (Yaman Koper), Serenay Sarıkaya (Mira Beylice), Metin Akdülger (Orkun Civanoglu), Taner Ölmez (Mert Serez), Hazar Ergüçlü (Eylül Buluter), Barış Falay (Selim Serez);https://image.tmdb.org/t/p/w185/6anWOhuVKq64zoL2YCEN043B3SP.jpg, https://image.tmdb.org/t/p/w185/1SJAapOz81mn34WTmlx0SoPIVm.jpg, https://image.tmdb.org/t/p/w185/70DE1rB7nGSECpFE6sQKxPU3mfQ.jpg, https://image.tmdb.org/t/p/w185/QG3bNfNw5aRqEzhttSIEey4nBt.jpg, https://image.tmdb.org/t/p/w185/jxBuzsc6l6IbkVONkh6Msb80n1H.jpg, https://image.tmdb.org/t/p/w185/fh2pvVJJeotuAKpqCTM0665U9CQ.jpg;Creador: Ece Yörenç | Director: Ali Bilgin;La novia de Estambul, Tierra Amarga, Nuestra historia, Una nueva vida, Trampa de amor;
Rubí;Rubí;TMDB;2004 - 2004;Rubí es una bella joven universitaria que vive junto con su madre Doña Refugio y su hermana Cristina en una pobre vecindad. ... Maribel es hija del millonario hombre de negocios llamado Arturo De La Fuente. Ella le entrega su amistad a Rubí, sin saber que esta está envenenada por la envidia y los celos;https://image.tmdb.org/t/p/original/uUYw0HKpaxZWbKkzCIPgEwXPDr3.jpg;https://image.tmdb.org/t/p/original/55gsc08ajOpUIKNAsNPa3V4qWkE.jpg;Soap, Drama, Misterio;7.694;1;115;https://www.themoviedb.org/tv/12961;T1:115;Bárbara Mori (Rubí Pérez Ochoa / Fernanda Martínez), Eduardo Santamarina (Alejandro Cárdenas Ruiz), Jacqueline Bracamontes (Maribel de la Fuente), Sebastián Rulli (Héctor Ferrer Garza), Ana Martín (Refugio Ochoa Vda. de Pérez), Yadhira Carrillo (Elena Navarro);https://image.tmdb.org/t/p/w185/y82o82y52BoKvFCMHG3R3Ahv43O.jpg, https://image.tmdb.org/t/p/w185/5kSFZtkLVMTFgM4X9gbhclfyDJE.jpg, https://image.tmdb.org/t/p/w185/erQUSJAH0GAlY46DLJDFirWowgC.jpg, https://image.tmdb.org/t/p/w185/5RVVRhpExIGWE0lZYJSgMW0V3dR.jpg, https://image.tmdb.org/t/p/w185/qiwFV3gxrZXipfO2ZTEA3Alw1M6.jpg, https://image.tmdb.org/t/p/w185/jICToUbKGlJoCcDFOyiEa1m3Zab.jpg;Creador: Yolanda Vargas Dulché;Marimar, Mujer de Madera, María Isabel, Amor Bravío, María Mercedes;
